gppd_idnr,owner,lei
CAN0002030,Bruce Power LP,549300R8DACS3G0K8262
CAN0002031,Bruce Power LP,549300R8DACS3G0K8262
CAN0007710,Hydro-Québec,6THEVG93PYJH84S4D167
CAN0007713,Bluearth Renewables,5493001LCP08VYRMSS63
CAN0007714,Bracebridge Generation Limited,549300SOVXJ1FQJSMM30
CAN0007716,TransCanada Energy Ltd,5493006YG7CTPEZTDU04
CAN0002024,TransCanada Energy Ltd,5493006YG7CTPEZTDU04
CAN0002025,Hydro-Québec,6THEVG93PYJH84S4D167
CAN0002034,Calpine,43R4VPJBXTU2O15HEF41
CAN0007719,Atlantic Power Corp,2U3V7WI7HVCB625AQQ40
CAN1060135,Hydro Quebec,6THEVG93PYJH84S4D167
CAN0007725,Gdf Suez Canada (40%) / Mitsui (30%) / Fiera Axium (30%),LAXUQCHT4FH58LRZDY46
CAN0007726,Daishowa-Marubeni International Ltd (Dmi) & West Fraser Mills Ltd (50/50),5493006RP13BG87BR306
CAN0002119,Hydro-Québec,6THEVG93PYJH84S4D167
CAN1060145,TransCanada,549300UGKOFV2IWJJG27
CAN0007733,Bracebridge Generation Limited,549300SOVXJ1FQJSMM30
CAN0002036,Encana,CZ72ZHBVKZXQRV3XFE26
CAN0002123,Saskatchewan Power Corp,549300EO1JU9WGN37J83
CAN0007743,Tembec Inc,549300WF9251CT4Q9R56
CAN0007744,Saskatchewan Power Corp,549300EO1JU9WGN37J83
CAN0002124,Kruger Energy Chatham LP,549300HSPXOSO4WCLD08
CAN0002261,Ontario Power Generation/Hydro-Electric Power Commission of Ontario,YDHER8SKF7V7YW8KZB55
CAN0002126,Hydro-Québec,6THEVG93PYJH84S4D167
CAN0002127,Ontario Power Generation (OPG),YDHER8SKF7V7YW8KZB55
CAN0002038,MEG Energy,5493002WXPTG5ZC1T326
CAN0008590,Hydro-Electric Power Commission of Ontario,549300OD7D2JJUXELP43
CAN0007761,Hydro-Québec,6THEVG93PYJH84S4D167
CAN0007763,Hydro-Québec,6THEVG93PYJH84S4D167
CAN0007765,Hydro-Québec,6THEVG93PYJH84S4D167
CAN0007768,Hydro-Québec,6THEVG93PYJH84S4D167
CAN0002131,Rio Tinto Alcan,213800YOEO5OQ72G2R82
CAN0002132,Rio Tinto Alcan,213800YOEO5OQ72G2R82
CAN0002129,Rio Tinto (Rt),213800YOEO5OQ72G2R82
CAN0002130,Rio Tinto Alcan,213800YOEO5OQ72G2R82
CAN0007770,Société d'Énergie Columbus Inc,549300TYSMSR1M2RFN42
CAN0007775,Brookfield Renewable Power Inc,549300YZR6BDBEJQB513
CAN0002039,Capital Power,549300QRKTEXGXYVPO80
CAN0007776,Capital Power,549300QRKTEXGXYVPO80
CAN0007781,Kruger,549300JKT5KTWQGH8W42
CAN0002134,Saskatchewan Power Corp,549300EO1JU9WGN37J83
CAN0002042,Enmax Energy Corp,5493003P7OH76BCOGR08
CAN0007793,Saskatchewan Power Corp,549300EO1JU9WGN37J83
CAN0007794,Synex,724500C372R1D6KR3U84
CAN0007785,Algonquin Power,549300U14HGDC7PUZF92
CAN0008591,Boralex,5493004UT7HNQU2SVR90
CAN0007796,Algonquin Power,549300U14HGDC7PUZF92
CAN0002135,Elecnor,95980020140005491250
CAN0002138,Invenergy Wind Canada,549300SUGZBEC5XCCY13
