central,empresa,grupoempresario,tipodecentral,potenciainstaladamv,caracteristicas,localidad,departamento,provincia,fuente,geom,geojson
PINAMAR,CT PINAMAR - EMGASUD,GENNEIA,TERMICA,20.5,<br>Maquina: PINATG10 | Tipo máquina: TURBO GAS | Tipo Generación: TURBO GAS | Potencia Instalada (MW): 5 | Año de puesta en marcha: 2008 | Año de ingreso al MEM: 2008-02-16<br>Maquina: PINATG07 | Tipo máquina: TURBO GAS | Tipo Generación: TURBO GAS | Potencia Instalada (MW): 5 | Año de puesta en marcha: 2008 | Año de ingreso al MEM: 2008-02-16<br>Maquina: PINATG08 | Tipo máquina: TURBO GAS | Tipo Generación: TURBO GAS | Potencia Instalada (MW): 5.5 | Año de puesta en marcha: 2008 | Año de ingreso al MEM: 2008-02-16<br>Maquina: PINATG09 | Tipo máquina: TURBO GAS | Tipo Generación: TURBO GAS | Potencia Instalada (MW): 5 | Año de puesta en marcha: 2008 | Año de ingreso al MEM: 2008-02-16,SIN DATOS DE LOCALIDAD,PINAMAR,BUENOS AIRES,CAMMESA,0101000020E61000000664AF777F704CC040FB9122328C42C0,"{""type"":""Point"",""coordinates"":[-56.87889,-37.09528]}"
SALTO BSAS,CT SALTO - SOENERGY,SOENERGY ARGENTINA S.A.,TERMICA,22.5,<br>Maquina: SLTODI01 | Tipo máquina: MOTOR DIESEL | Tipo Generación: MOTOR DIESEL | Potencia Instalada (MW): 22.5 | Año de puesta en marcha: 2011 | Año de ingreso al MEM: 2011-01-14,SIN DATOS DE LOCALIDAD,SALTO,BUENOS AIRES,CAMMESA,0101000020E610000012BD8C62B91D4EC0E65C8AABCA2641C0,"{""type"":""Point"",""coordinates"":[-60.23222,-34.30306]}"
ATUCHA,NUCLEOELECTRICA ARG. SA,NUCLEOELECTRICA ARG. SA,NUCLEAR,362,<br>Maquina: ATUCNUCL | Tipo máquina: NUCLEAR | Tipo Generación: NUCLEAR | Potencia Instalada (MW): 362 | Año de puesta en marcha: 1974 | Año de ingreso al MEM: 1994-01-01,SIN DATOS DE LOCALIDAD,ZARATE,BUENOS AIRES,CAMMESA,0101000020E61000002B4B7496599A4DC040F67AF7C7FB40C0,"{""type"":""Point"",""coordinates"":[-59.205859,-33.96704]}"
ATUCHA II,NUCLEOELECTRICA ARG. SA,NUCLEOELECTRICA ARG. SA,NUCLEAR,745,<br>Maquina: ATU2NUCL | Tipo máquina: NUCLEAR | Tipo Generación: NUCLEAR | Potencia Instalada (MW): 745 | Año de puesta en marcha: 2015 | Año de ingreso al MEM: 2015-02-18,SIN DATOS DE LOCALIDAD,ZARATE,BUENOS AIRES,CAMMESA,0101000020E61000007940D9942B9A4DC00BD28C45D3FB40C0,"{""type"":""Point"",""coordinates"":[-59.204455,-33.967385]}"
BAHIA BLANCA,CENTRAL PIEDRABUENA S.A.,CENTRAL PIEDRA BUENA SA,TERMICA,620,<br>Maquina: BBLATV30 | Tipo máquina: TURBO VAPOR | Tipo Generación: TURBO VAPOR | Potencia Instalada (MW): 310 | Año de puesta en marcha: 1991 | Año de ingreso al MEM: 1994-01-01<br>Maquina: BBLATV29 | Tipo máquina: TURBO VAPOR | Tipo Generación: TURBO VAPOR | Potencia Instalada (MW): 310 | Año de puesta en marcha: 1989 | Año de ingreso al MEM: 1994-01-01,SIN DATOS DE LOCALIDAD,BAHIA BLANCA,BUENOS AIRES,CAMMESA,0101000020E610000023F8DF4A76204FC08A58C4B0C36443C0,"{""type"":""Point"",""coordinates"":[-62.25361,-38.787222]}"
ECOENERG CERRI,ECOENERGÍA - PETROBRAS,PETROBRAS ARGENTINA SA,TERMICA,13.2,<br>Maquina: CERITV01 | Tipo máquina: TURBO VAPOR | Tipo Generación: TURBO VAPOR | Potencia Instalada (MW): 13.2 | Año de puesta en marcha: 2011 | Año de ingreso al MEM: 2011-06-23,SIN DATOS DE LOCALIDAD,BAHIA BLANCA,BUENOS AIRES,CAMMESA,0101000020E6100000B1E1E995B2324FC08F6FEF1AF45743C0,"{""type"":""Point"",""coordinates"":[-62.396075,-38.687137]}"
NECOCHEA EOLICO,SEA ENERGY PARQUE EOLICO,SEA ENERGY SA,EOLICA,0.3,<br>Maquina: NECOEO01 | Tipo máquina: EOLICO | Tipo Generación: EÓLICA | Potencia Instalada (MW): 0.3 | Año de puesta en marcha: 2010 | Año de ingreso al MEM: 2010-11-01,SIN DATOS DE LOCALIDAD,NECOCHEA,BUENOS AIRES,CAMMESA,0101000020E61000003A24B55032654DC0C367EBE0604D43C0,"{""type"":""Point"",""coordinates"":[-58.790598,-38.604519]}"
CO. ARGENER,SIDERCA SA(EX ARGENER-GEN.PAR),SIDERCA SA,TERMICA,163.3,<br>Maquina: ARGETG01 | Tipo máquina: TURBO GAS | Tipo Generación: TURBO GAS | Potencia Instalada (MW): 163.3 | Año de puesta en marcha: 1998 | Año de ingreso al MEM: 1998-10-10,SIN DATOS DE LOCALIDAD,RAMALLO,BUENOS AIRES,CAMMESA,0101000020E6100000A69C2FF65E124EC0FFEC478AC8AE40C0,"{""type"":""Point"",""coordinates"":[-60.143523,-33.365495]}"
GRAL BELGRANO,TERMOELECTRICA M.BELGRANO S.A.,FIDEICOMISO CENT. M. BELGRANO,TERMICA,868.2,<br>Maquina: GBELTG01 | Tipo máquina: TURBO GAS | Tipo Generación: CICLO COMBINADO | Potencia Instalada (MW): 296.5 | Año de puesta en marcha: 2008 | Año de ingreso al MEM: 2008-04-19<br>Maquina: GBELTG02 | Tipo máquina: TURBO GAS | Tipo Generación: CICLO COMBINADO | Potencia Instalada (MW): 296.5 | Año de puesta en marcha: 2008 | Año de ingreso al MEM: 2008-06-13<br>Maquina: GBELTV01 | Tipo máquina: TURBO VAPOR | Tipo Generación: CICLO COMBINADO | Potencia Instalada (MW): 275.2 | Año de puesta en marcha: 2010 | Año de ingreso al MEM: 2010-01-07,SIN DATOS DE LOCALIDAD,CAMPANA,BUENOS AIRES,CAMMESA,0101000020E6100000724D81CCCE804DC00DC68844A11741C0,"{""type"":""Point"",""coordinates"":[-59.006311,-34.184609]}"
NUEVO PUERTO,CENTRAL PUERTO SA,CENTRAL PUERTO SA,TERMICA,1188,<br>Maquina: CEPUTG11 | Tipo máquina: TURBO GAS | Tipo Generación: CICLO COMBINADO | Potencia Instalada (MW): 258 | Año de puesta en marcha: 2000 | Año de ingreso al MEM: 2000-05-05<br>Maquina: NPUETV04 | Tipo máquina: TURBO VAPOR | Tipo Generación: TURBO VAPOR | Potencia Instalada (MW): 30 | Año de puesta en marcha: 1954 | Año de ingreso al MEM: 1994-01-01<br>Maquina: NPUETV05 | Tipo máquina: TURBO VAPOR | Tipo Generación: TURBO VAPOR | Potencia Instalada (MW): 110 | Año de puesta en marcha: 1965 | Año de ingreso al MEM: 1994-01-01<br>Maquina: NPUETV06 | Tipo máquina: TURBO VAPOR | Tipo Generación: TURBO VAPOR | Potencia Instalada (MW): 250 | Año de puesta en marcha: 1969 | Año de ingreso al MEM: 1996-09-30<br>Maquina: CEPUTV10 | Tipo máquina: TURBO VAPOR | Tipo Generación: CICLO COMBINADO | Potencia Instalada (MW): 282 | Año de puesta en marcha: 2000 | Año de ingreso al MEM: 2000-05-05<br>Maquina: CEPUTG12 | Tipo máquina: TURBO GAS | Tipo Generación: CICLO COMBINADO | Potencia Instalada (MW): 258 | Año de puesta en marcha: 2000 | Año de ingreso al MEM: 2000-05-05,SIN DATOS DE LOCALIDAD,COMUNA 2,CIUDAD AUTONOMA DE BUENOS AIRES,CAMMESA,0101000020E610000053AEF02E17314DC00C59DDEA394941C0,"{""type"":""Point"",""coordinates"":[-58.38352,-34.57208]}"
COSTANERA,ENDESA COSTANERA SA,ENDESA COSTANERA SA,TERMICA,1982,<br>Maquina: COSTTV10 | Tipo máquina: TURBO VAPOR | Tipo Generación: CICLO COMBINADO | Potencia Instalada (MW): 322.2 | Año de puesta en marcha: 1999 | Año de ingreso al MEM: 1999-07-01<br>Maquina: COSTTG08 | Tipo máquina: TURBO GAS | Tipo Generación: CICLO COMBINADO | Potencia Instalada (MW): 264.4 | Año de puesta en marcha: 1998 | Año de ingreso al MEM: 1998-12-21<br>Maquina: COSTTV04 | Tipo máquina: TURBO VAPOR | Tipo Generación: TURBO VAPOR | Potencia Instalada (MW): 120 | Año de puesta en marcha: 1963 | Año de ingreso al MEM: 1994-01-01<br>Maquina: COSTTG09 | Tipo máquina: TURBO GAS | Tipo Generación: CICLO COMBINADO | Potencia Instalada (MW): 264.4 | Año de puesta en marcha: 1999 | Año de ingreso al MEM: 1999-01-15<br>Maquina: COSTTV03 | Tipo máquina: TURBO VAPOR | Tipo Generación: TURBO VAPOR | Potencia Instalada (MW): 112 | Año de puesta en marcha: 1963 | Año de ingreso al MEM: 1994-01-01<br>Maquina: COSTTV02 | Tipo máquina: TURBO VAPOR | Tipo Generación: TURBO VAPOR | Potencia Instalada (MW): 116 | Año de puesta en marcha: 1963 | Año de ingreso al MEM: 1994-01-01<br>Maquina: COSTTV06 | Tipo máquina: TURBO VAPOR | Tipo Generación: TURBO VAPOR | Potencia Instalada (MW): 350 | Año de puesta en marcha: 1976 | Año de ingreso al MEM: 1994-01-01<br>Maquina: COSTTV01 | Tipo máquina: TURBO VAPOR | Tipo Generación: TURBO VAPOR | Potencia Instalada (MW): 123 | Año de puesta en marcha: 1963 | Año de ingreso al MEM: 1994-01-01<br>Maquina: COSTTV07 | Tipo máquina: TURBO VAPOR | Tipo Generación: TURBO VAPOR | Potencia Instalada (MW): 310 | Año de puesta en marcha: 1984 | Año de ingreso al MEM: 1994-01-01,SIN DATOS DE LOCALIDAD,COMUNA 4,CIUDAD AUTONOMA DE BUENOS AIRES,CAMMESA,0101000020E6100000DAACFA5C6D2B4DC0554D10751F5041C0,"{""type"":""Point"",""coordinates"":[-58.339275,-34.62596]}"
CATAMARC DELIV,CT CATAMARCA - SECCO,INDUSTRIAS JUAN F. SECCO S.A.,TERMICA,19.2,<br>Maquina: CATDDI01 | Tipo máquina: MOTOR DIESEL | Tipo Generación: MOTOR DIESEL | Potencia Instalada (MW): 19.2 | Año de puesta en marcha: 2008 | Año de ingreso al MEM: 2008-06-17,SIN DATOS DE LOCALIDAD,CAPITAL,CATAMARCA,CAMMESA,0101000020E61000002B5B7735F17050C0A626455476783CC0,"{""type"":""Point"",""coordinates"":[-65.76472222,-28.47055556]}"
INTA CATAM ENAR,CT INTA CATAMARCA - SECCO,INDUSTRIAS JUAN F. SECCO S.A.,TERMICA,7,<br>Maquina: INTADI01 | Tipo máquina: MOTOR DIESEL | Tipo Generación: MOTOR DIESEL | Potencia Instalada (MW): 7 | Año de puesta en marcha: 2011 | Año de ingreso al MEM: 2011-12-22,SIN DATOS DE LOCALIDAD,VALLE VIEJO,CATAMARCA,CAMMESA,0101000020E6100000C3F5285C8F6E50C0EF74845F2C793CC0,"{""type"":""Point"",""coordinates"":[-65.7275,-28.47333333]}"
P.IND.CAT ENARS,CT PARQUE INDUSTR.CATAM-SECCO,INDUSTRIAS JUAN F. SECCO S.A.,TERMICA,15,<br>Maquina: PICADI01 | Tipo máquina: MOTOR DIESEL | Tipo Generación: MOTOR DIESEL | Potencia Instalada (MW): 15 | Año de puesta en marcha: 2012 | Año de ingreso al MEM: 2012-01-11,SIN DATOS DE LOCALIDAD,CAPITAL,CATAMARCA,CAMMESA,0101000020E610000036321BA62E7350C06C3F3AF1AC883CC0,"{""type"":""Point"",""coordinates"":[-65.79972222,-28.53388889]}"
TEREVINTOS ENAR,CT TEREVINTOS - SECCO,INDUSTRIAS JUAN F. SECCO S.A.,TERMICA,8,<br>Maquina: TERVDI01 | Tipo máquina: MOTOR DIESEL | Tipo Generación: MOTOR DIESEL | Potencia Instalada (MW): 8 | Año de puesta en marcha: 2012 | Año de ingreso al MEM: 2012-02-01,SIN DATOS DE LOCALIDAD,CAPITAL,CATAMARCA,CAMMESA,0101000020E610000064677EF36A7250C0F12A8CA9CB6D3CC0,"{""type"":""Point"",""coordinates"":[-65.78777778,-28.42888889]}"
TINOGASTA ENARS,CT TINOGASTA - SULLAIR,SULLAIR ARGENTINA S.A.,TERMICA,15,<br>Maquina: TINODI01 | Tipo máquina: MOTOR DIESEL | Tipo Generación: MOTOR DIESEL | Potencia Instalada (MW): 15 | Año de puesta en marcha: 2012 | Año de ingreso al MEM: 2012-02-08,SIN DATOS DE LOCALIDAD,TINOGASTA,CATAMARCA,CAMMESA,0101000020E610000087D8474444E450C019AC17C7710C3CC0,"{""type"":""Point"",""coordinates"":[-67.56666667,-28.04861111]}"
ANTOFAGASTA DE LA SIERRA,ENERGIA DE CATAMARCA S.A.P.E.M.- EC SAPEM,SIN DATOS DE GRUPO EMPRESARIO,TERMICA,SIN DATOS DE POTENCIA,<br>Maquina: CUMMINS  DGFA | Tipo Generación: DIESEL | Potencia Instalada (MW): SIN DATOS DE POTENCIA | Fecha de puesta en servicio: 1998-06-11 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: CUMMINS  DGFA | Tipo Generación: DIESEL | Potencia Instalada (MW): SIN DATOS DE POTENCIA | Fecha de puesta en servicio: 2003-12-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: SETEC | Tipo Generación: DIESEL | Potencia Instalada (MW): SIN DATOS DE POTENCIA | Fecha de puesta en servicio: SIN DATOS DE FECHA DE PUESTA EN SERVICIO | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA,SIN DATOS DE LOCALIDAD,ANTOFAGASTA DE LA SIERRA,CATAMARCA,DIRECCION NACIONAL DE PROSPECTIVA,0101000020E61000001CB7989F1BDA50C000AB23473A0F3AC0,"{""type"":""Point"",""coordinates"":[-67.407936,-26.059483]}"
CAPITAL CATAMARCA - PREDIO CHOYA,ENERGIA DE CATAMARCA S.A.P.E.M.- EC SAPEM,SIN DATOS DE GRUPO EMPRESARIO,TERMICA,SIN DATOS DE POTENCIA,<br>Maquina: SIN DATOS DE MAQUINA | Tipo Generación: DIESEL | Potencia Instalada (MW): SIN DATOS DE POTENCIA | Fecha de puesta en servicio: SIN DATOS DE FECHA DE PUESTA EN SERVICIO | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA,SIN DATOS DE LOCALIDAD,CAPITAL,CATAMARCA,DIRECCION NACIONAL DE PROSPECTIVA,0101000020E6100000656D533C2E7250C029EACC3D24743CC0,"{""type"":""Point"",""coordinates"":[-65.784072,-28.453678]}"
CAPITAL CATAMARCA - PREDIO EX CARCEL,ENERGIA DE CATAMARCA S.A.P.E.M.- EC SAPEM,SIN DATOS DE GRUPO EMPRESARIO,TERMICA,SIN DATOS DE POTENCIA,<br>Maquina: SIN DATOS DE MAQUINA | Tipo Generación: DIESEL | Potencia Instalada (MW): SIN DATOS DE POTENCIA | Fecha de puesta en servicio: SIN DATOS DE FECHA DE PUESTA EN SERVICIO | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA,SIN DATOS DE LOCALIDAD,CAPITAL,CATAMARCA,DIRECCION NACIONAL DE PROSPECTIVA,0101000020E6100000F2EB87D8607250C000A8E2C62D7A3CC0,"{""type"":""Point"",""coordinates"":[-65.787161,-28.477261]}"
EL PEÑON,ENERGIA DE CATAMARCA S.A.P.E.M.- EC SAPEM,SIN DATOS DE GRUPO EMPRESARIO,TERMICA,0.175,<br>Maquina: CUMMINS DGA | Tipo Generación: DIESEL | Potencia Instalada (MW): 0.11 | Fecha de puesta en servicio: SIN DATOS DE FECHA DE PUESTA EN SERVICIO | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: DEUTZ BFGL | Tipo Generación: DIESEL | Potencia Instalada (MW): 0.065 | Fecha de puesta en servicio: SIN DATOS DE FECHA DE PUESTA EN SERVICIO | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA,SIN DATOS DE LOCALIDAD,ANTOFAGASTA DE LA SIERRA,CATAMARCA,DIRECCION NACIONAL DE PROSPECTIVA,0101000020E6100000202A8D98D9D050C0C423F1F2747A3AC0,"{""type"":""Point"",""coordinates"":[-67.263281,-26.478347]}"
S.MARIA CATAMAR,EDECAT GENERACION,ENERGIA DE CATAMARCA S.A. CON ,TERMICA,2.8,<br>Maquina: SMARDI01 | Tipo máquina: MOTOR DIESEL | Tipo Generación: MOTOR DIESEL | Potencia Instalada (MW): 2.8 | Año de puesta en marcha: 2013 | Año de ingreso al MEM: 2013-07-12,SIN DATOS DE LOCALIDAD,SANTA MARIA,CATAMARCA,CAMMESA,0101000020E610000015E29178798250C0C214E5D2F8B13AC0,"{""type"":""Point"",""coordinates"":[-66.038664,-26.695203]}"
CHARATA ENARSA,CT CHARATA - SULLAIR,SULLAIR ARGENTINA S.A.,TERMICA,16.4,<br>Maquina: CHARDI01 | Tipo máquina: MOTOR DIESEL | Tipo Generación: MOTOR DIESEL | Potencia Instalada (MW): 8.6 | Año de puesta en marcha: 2009 | Año de ingreso al MEM: 2009-12-23<br>Maquina: CHARDI02 | Tipo máquina: MOTOR DIESEL | Tipo Generación: MOTOR DIESEL | Potencia Instalada (MW): 7.8 | Año de puesta en marcha: 2010 | Año de ingreso al MEM: 2010-03-12,SIN DATOS DE LOCALIDAD,CHACABUCO,CHACO,CAMMESA,0101000020E6100000CACDE459D1984EC0DFC40C64A83C3BC0,"{""type"":""Point"",""coordinates"":[-61.19388889,-27.23694444]}"
CASTELLI,CT CASTELLI - AGGREKO,AGGREKO ARGENTINA S.R.L.,TERMICA,15,<br>Maquina: CASTDI01 | Tipo máquina: MOTOR DIESEL | Tipo Generación: MOTOR DIESEL | Potencia Instalada (MW): 15 | Año de puesta en marcha: 2008 | Año de ingreso al MEM: 2008-02-19,SIN DATOS DE LOCALIDAD,GENERAL GUEMES,CHACO,CAMMESA,0101000020E61000000053060E684F4EC02635B401D8F439C0,"{""type"":""Point"",""coordinates"":[-60.620363,-25.956421]}"
CT LAS PALMAS -TURBODISEL,CT PALMAR LARGO - APR ENERGY,APR ENERGY S.R.L.,TERMICA,3,<br>Maquina: PALMDI01 | Tipo máquina: MOTOR DIESEL | Tipo Generación: MOTOR DIESEL | Potencia Instalada (MW): 3 | Año de puesta en marcha: 2010 | Año de ingreso al MEM: 2010-11-19,SIN DATOS DE LOCALIDAD,BERMEJO,CHACO,CAMMESA,0101000020E61000009E97697F90594DC08BC4254365073BC0,"{""type"":""Point"",""coordinates"":[-58.69972222,-27.02888889]}"
SAENZ PEÑA,CT SAENZ PEÑA - APR ENERGY,APR ENERGY S.R.L.,TERMICA,20,<br>Maquina: SPENDI01 | Tipo máquina: MOTOR DIESEL | Tipo Generación: MOTOR DIESEL | Potencia Instalada (MW): 20 | Año de puesta en marcha: 2008 | Año de ingreso al MEM: 2010-06-12,SIN DATOS DE LOCALIDAD,COMANDANTE FERNANDEZ,CHACO,CAMMESA,0101000020E61000006E3E2264A8344EC05E45CA3FC8D03AC0,"{""type"":""Point"",""coordinates"":[-60.41138889,-26.81555556]}"
SAENZ PEÑA II,CT SAENZ PEÑA II- AGGREKO,AGGREKO ARGENTINA S.R.L.,TERMICA,15,<br>Maquina: SPE2DI01 | Tipo máquina: MOTOR DIESEL | Tipo Generación: MOTOR DIESEL | Potencia Instalada (MW): 15 | Año de puesta en marcha: 2010 | Año de ingreso al MEM: 2010-06-12,SIN DATOS DE LOCALIDAD,COMANDANTE FERNANDEZ,CHACO,CAMMESA,0101000020E6100000CDCCCCCCCC344EC067416A0BB6D03AC0,"{""type"":""Point"",""coordinates"":[-60.4125,-26.81527778]}"
V.ANGELA ENARSA,CT VILLA ANGELA - AGGREKO,AGGREKO ARGENTINA S.R.L.,TERMICA,15,<br>Maquina: VANGDI01 | Tipo máquina: MOTOR DIESEL | Tipo Generación: MOTOR DIESEL | Potencia Instalada (MW): 15 | Año de puesta en marcha: 2010 | Año de ingreso al MEM: 2010-04-24,SIN DATOS DE LOCALIDAD,MAYOR LUIS J. FONTANA,CHACO,CAMMESA,0101000020E610000084104E13CF5A4EC0DBC63C7EB1943BC0,"{""type"":""Point"",""coordinates"":[-60.70944444,-27.58083333]}"
CT NUEVA POMPEYA -TURBODISEL,CT NUEVA POMPEYA - AGGREKO,AGGREKO ARGENTINA S.R.L.,TERMICA,4,<br>Maquina: NPOMDI01 | Tipo máquina: MOTOR DIESEL | Tipo Generación: MOTOR DIESEL | Potencia Instalada (MW): 4 | Año de puesta en marcha: 2011 | Año de ingreso al MEM: 2011-05-30,SIN DATOS DE LOCALIDAD,GENERAL GUEMES,CHACO,CAMMESA,0101000020E6100000A94911951DBE4EC0586CF6B481EE38C0,"{""type"":""Point"",""coordinates"":[-61.48527778,-24.93166667]}"
COMANDANCIA FRIAS,SECHEEP,SIN DATOS DE GRUPO EMPRESARIO,TERMICA,0.578,<br>Maquina: MERCEDES BENZ N 12 | Tipo Generación: DIESEL | Potencia Instalada (MW): 0.09 | Fecha de puesta en servicio: 2000-05-20 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: MERCEDES BENZ N 15 | Tipo Generación: DIESEL | Potencia Instalada (MW): 0.09 | Fecha de puesta en servicio: 2000-05-21 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: MERCEDES BENZ N 11 | Tipo Generación: DIESEL | Potencia Instalada (MW): 0.09 | Fecha de puesta en servicio: 2000-05-22 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: PERKINS N 3 | Tipo Generación: DIESEL | Potencia Instalada (MW): 0.308 | Fecha de puesta en servicio: 2002-09-25 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA,SIN DATOS DE LOCALIDAD,GENERAL GUEMES,CHACO,DIRECCION NACIONAL DE PROSPECTIVA,0101000020E610000066666666661E4FC0406859D1489038C0,"{""type"":""Point"",""coordinates"":[-62.2375,-24.563611111]}"
